anime_title,anime_original_title,anime_type,anime_release_year,anime_episode_count,anime_status,anime_studio,anime_synopsis,anime_poster_image_url,anime_banner_image_url,anime_rating_avg,anime_rating_count,anime_favorite_count,manga_title,manga_original_title,manga_author,manga_illustrator,manga_publisher,manga_status,manga_description,manga_cover_image_url,manga_banner_image_url,manga_rating_avg,manga_rating_count,manga_favorite_count,genres,studio_tag,anime_season_label,anime_episode_from,anime_episode_to,manga_volume_from,manga_volume_to,manga_chapter_from,manga_chapter_to,continue_volume,continue_chapter,mapping_text,mapping_description,source_note
Attack on Titan Season 3 Part 2,進撃の巨人 Season３ Part.2,TVA,2019,10,COMPLETED,WIT STUDIO,"The battle to retake Wall Maria begins now! With Eren’s new hardening ability, the Scouts are confident they can seal the wall and take back Shiganshina District. If they succeed, Eren can finally unlock the secrets of the basement—and the world. But danger lies in wait as Reiner, Bertholdt, and the Beast Titan have plans of their own. Could this be humanity’s final battle for survival?



(Source: Funimation)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx104578-k61nx3LPjvgd.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/104578-z7SadpYEuAsy.jpg,4.5,,,,,,,,,,,,,,,Action;Drama;Fantasy;Mystery,WIT STUDIO,,,,,,,,,,,,
Naruto: Shippuden,NARUTO -ナルト- 疾風伝,TVA,2007,500,COMPLETED,Studio Pierrot,"Naruto: Shippuuden is the continuation of the original animated TV series Naruto. The story revolves around an older and slightly more matured Uzumaki Naruto and his quest to save his friend Uchiha Sasuke from the grips of the snake-like Shinobi, Orochimaru. After 2 and a half years Naruto finally returns to his village of Konoha, and sets about putting his ambitions to work, though it will not be easy, as he has amassed a few (more dangerous) enemies, in the likes of the shinobi organization; Akatsuki. 


(Source: Anime News Network)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx1735-kGfVm0YqCPcu.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/1735.jpg,4.1,,,,,,,,,,,,,,,Action;Adventure;Comedy;Drama;Fantasy;Supernatural,Studio Pierrot,,,,,,,,,,,,
ERASED,僕だけがいない街,TVA,2016,12,COMPLETED,A-1 Pictures,"Satoru Fujinuma is a 29 year old manga artist struggling to make a name for himself following his debut. But, that was not the only thing in his life that Satoru was feeling frustrated about… He has a unique supernatural ability of being forced to prevent deaths and catastrophes by being sent back in time before the incident occurred, repeating time until the accident is prevented. One day, he gets involved in an accident that has him framed as a murderer. Desperate to save the victim, he sends himself back in time only to find himself as a grade-schooler one month before fellow classmate Kayo Hinazuki went missing. Satoru now embarks on a new quest: to save Kayo and solve the mystery behind her disappearance.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx21234-XmqW39aQ9o7O.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/21234-7lfSSPoMmwr2.jpg,4.0,,,,,,,,,,,,,,,Drama;Mystery;Psychological;Supernatural;Thriller,A-1 Pictures,,,,,,,,,,,,
My Hero Academia Season 3,僕のヒーローアカデミア３,TVA,2018,25,COMPLETED,bones,"Summer is here, and the heroes of Class 1-A and 1-B are in for the toughest training camp of their lives! A group of seasoned pros pushes everyone's Quirks to new heights as the students face one overwhelming challenge after another. Braving the elements in this secret location becomes the least of their worries when routine training turns into a critical struggle for survival.

(Source: Crunchyroll)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx100166-jUCZYbzn2XLw.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/100166-k7RXwN5vZg0r.jpg,4.0,,,,,,,,,,,,,,,Action;Adventure;Comedy;Drama,bones,,,,,,,,,,,,
HAIKYU!!,ハイキュー!!,TVA,2014,25,COMPLETED,Production I.G,"Inspired after watching a volleyball ace nicknamed ""Little Giant"" in action, small-statured Shouyou Hinata revives the volleyball club at his middle school. The newly-formed team even makes it to a tournament; however, their first match turns out to be their last when they are brutally squashed by the ""King of the Court,"" Tobio Kageyama. Hinata vows to surpass Kageyama, and so after graduating from middle school, he joins Karasuno High School's volleyball team—only to find that his sworn rival, Kageyama, is now his teammate.



Thanks to his short height, Hinata struggles to find his role on the team, even with his superior jumping power. Surprisingly, Kageyama has his own problems that only Hinata can help with, and learning to work together appears to be the only way for the team to be successful. Based on Haruichi Furudate's popular shounen manga of the same name, Haikyuu!! is an exhilarating and emotional sports comedy following two determined athletes as they attempt to patch a heated rivalry in order to make their high school volleyball team the best in Japan.



[Written by MAL Rewrite]",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx20464-ooZUyBe4ptp9.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/20464-PpYjO9cPN1gs.jpg,4.2,,,,,,,,,,,,,,,Comedy;Drama;Sports,Production I.G,,,,,,,,,,,,
Black Clover,ブラッククローバー,TVA,2017,170,COMPLETED,Studio Pierrot,"In a world where magic is everything, Asta and Yuno are both found abandoned at a church on the same day. While Yuno is gifted with exceptional magical powers, Asta is the only one in this world without any. At the age of fifteen, both receive grimoires, magic books that amplify their holder’s magic. Asta’s is a rare Grimoire of Anti-Magic that negates and repels his opponent’s spells. Being opposite but good rivals, Yuno and Asta are ready for the hardest of challenges to achieve their common dream: to be the Wizard King. Giving up is never an option!



(Source: Crunchyroll)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx97940-fyh8o7gNbha0.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/97940-1URQdQ4U1a0b.jpg,4.0,,,,,,,,,,,,,,,Action;Adventure;Comedy;Fantasy,Studio Pierrot,,,,,,,,,,,,
SPY x FAMILY,SPY×FAMILY,TVA,2022,12,COMPLETED,CloverWorks,"Everyone has a part of themselves they cannot show to anyone else.



At a time when all nations of the world were involved in a fierce war of information happening behind closed doors, Ostania and Westalis had been in a state of cold war against one another for decades. The Westalis Intelligence Services' Eastern-Focused Division (WISE) sends their most talented spy, ""Twilight,"" on a top-secret mission to investigate the movements of Donovan Desmond, the chairman of Ostania's National Unity Party, who is threatening peace efforts between the two nations.



This mission is known as ""Operation Strix."" It consists of ""putting together a family in one week in order to infiltrate social gatherings organized by the elite school that Desmond's son attends."" 


""Twilight"" takes on the identity of psychiatrist Loid Forger and starts looking for family members. But Anya, the daughter he adopts, turns out to have the ability to read people's minds, while his wife, Yor, is an assassin! With it being in each of their own interests to keep these facts hidden, they start living together while concealing their true identities from one another. 

World peace is now in the hands of this brand-new family as they embark on an adventure full of surprises.



(Source: Crunchyroll)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx140960-Kb6R5nYQfjmP.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/140960-Z7xSvkRxHKfj.jpg,4.2,,,,,,,,,,,,,,,Action;Comedy;Slice of Life;Supernatural,CloverWorks,,,,,,,,,,,,
Kaguya-sama: Love is War,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,TVA,2019,12,COMPLETED,A-1 Pictures,"Known for being both brilliant and powerful, Miyuki Shirogane and Kaguya Shinomiya lead the illustrious Shuchiin Academy as near equals. And everyone thinks they’d make a great couple. Pride and arrogance are in ample supply, so the only logical move is to trick the other into instigating a date! Who will come out on top in this psychological war where the first move is the only one that matters?



(Source: Aniplex)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx101921-ufrjLzhSz7L1.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/101921-GgvvFhlNhzlF.jpg,4.2,,,,,,,,,,,,,,,Comedy;Psychological;Romance;Slice of Life,A-1 Pictures,,,,,,,,,,,,
Dr. STONE,Dr.STONE,TVA,2019,24,COMPLETED,TMS Entertainment,"After five years of harboring unspoken feelings, high-schooler Taiju Ooki is finally ready to confess his love to Yuzuriha Ogawa. Just when Taiju begins his confession however, a blinding green light strikes the Earth and petrifies mankind around the world— turning every single human into stone.



Several millennia later, Taiju awakens to find the modern world completely nonexistent, as nature has flourished in the years humanity stood still. Among a stone world of statues, Taiju encounters one other living human: his science-loving friend Senkuu, who has been active for a few months. Taiju learns that Senkuu has developed a grand scheme—to launch the complete revival of civilization with science. Taiju's brawn and Senkuu's brains combine to forge a formidable partnership, and they soon uncover a method to revive those petrified.



However, Senkuu's master plan is threatened when his ideologies are challenged by those who awaken. All the while, the reason for mankind's petrification remains unknown.



(Source: MAL Rewrite)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx105333-GybuoSoOZfpH.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/105333-KWKGvBM8Hyga.jpg,4.0,,,,,,,,,,,,,,,Action;Adventure;Comedy;Sci-Fi,TMS Entertainment,,,,,,,,,,,,
Noragami,ノラガミ,TVA,2014,12,COMPLETED,bones,"Minor god Yato is down on his luck. Fed up with his slacker lifestyle, his partner abruptly quits. He has no money, no worshippers, and no shrine to call home. But just when things are starting to seem hopeless, a bus accident forces him to cross paths with Hiyori Iki, a sweet and perky high school girl. After the accident, Hiyori's soul has a bad habit of slipping out of her body, and after enlisting Yato's help to get her back to normal, she begins to fall into the world of spirits and gods.



But Hiyori's not the only one who's keeping tabs on Yato. A god from Yato's past is back, and he's not interested in a friendly reunion.



(Source: Funimation)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx20447-EoQXeygHaVCK.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/20447-nlgQQzcgWbgw.jpg,3.9,,,,,,,,,,,,,,,Action;Adventure;Comedy;Supernatural,bones,,,,,,,,,,,,
